Question Number,is _correct ,ID,Option,Sub
171,0,696,Word Editor,Coreldraw
171,1,697,Vector Graphic Editor,Coreldraw
171,0,698,Oprating System ,Coreldraw
171,0,699,Non of Above,Coreldraw
172,0,700,A computer's memory is the minimum capacity required by Corel DRAW.,Coreldraw
172,0,701,"Installing it over many machines will be easy, and it will be independent of the operating system.",Coreldraw
172,0,702,Any system that is as fast and dexterous as Linux or Windows is acceptable.,Coreldraw
172,1,703, All of the above,Coreldraw
173,0,704,The Document Palette,Coreldraw
173,0,705, The Color Style Palette,Coreldraw
173,0,706,The Object Properties Container,Coreldraw
173,1,707, All of the above,Coreldraw
174,0,708,Paragraph Text,Coreldraw
174,0,709,Artistic Media,Coreldraw
174,1,710,Both A and B,Coreldraw
174,0,711,None of the above,Coreldraw
175,0,712,Tables,Coreldraw
175,0,713, Bitmaps,Coreldraw
175,1,714, Lenses,Coreldraw
175,0,715,Objects,Coreldraw
176,0,716,JEPG,Coreldraw
176,0,717,PNG,Coreldraw
176,0,718,GIF,Coreldraw
176,1,719,All of the above,Coreldraw
177,0,720, Outline Trace,Coreldraw
177,0,721, Centreline Trace,Coreldraw
177,1,722,Both A and B,Coreldraw
177,0,723,None of the above,Coreldraw
178,0,724, Pen Tool,Coreldraw
178,0,725, Freehand Tool,Coreldraw
178,1,726, B-Spline Tool,Coreldraw
178,0,727, 2-Point Line Tool,Coreldraw
179,0,728,JPEG,Coreldraw
179,1,729, PNG,Coreldraw
179,0,730, BMP,Coreldraw
179,0,731,TIFF,Coreldraw
180,1,732,True ,Coreldraw
180,0,733,FALSE,Coreldraw
180,0,734,_,Coreldraw
180,0,735,None of These,Coreldraw
181,1,736,2,Coreldraw
181,0,737,1,Coreldraw
181,0,738,4,Coreldraw
181,0,739,3,Coreldraw
182,0,740,Java ,Coreldraw
182,0,741,Python ,Coreldraw
182,1,742,C++ & C#,Coreldraw
182,0,743,Angular ,Coreldraw
183,1,744,F11,Coreldraw
183,0,745,F6,Coreldraw
183,0,746,F10,Coreldraw
183,0,747,F8,Coreldraw
184,0,748,File,Coreldraw
184,0,749,Import,Coreldraw
184,1,750,Export,Coreldraw
184,0,751,Text ,Coreldraw
185,1,752,Latter ,Coreldraw
185,0,753,A4,Coreldraw
185,0,754,Legal ,Coreldraw
185,0,755,Postcard,Coreldraw
186,0,756,It has a line  ,Coreldraw
186,1,757, It can be filled,Coreldraw
186,0,758,It has nodes,Coreldraw
186,0,759,It has a shape,Coreldraw
187,0,760,Selection Tool,Coreldraw
187,0,761,Curve tool,Coreldraw
187,0,762,Direct Selection Tool,Coreldraw
187,1,763,Shape tool,Coreldraw
188,0,764,Freehand Tool,Coreldraw
188,0,765,Shape tool,Coreldraw
188,1,766,Pick tool,Coreldraw
188,0,767,Bezier Tool,Coreldraw
189,0,768,TRUE,Coreldraw
189,1,769,FALSE,Coreldraw
189,0,770,None of these,Coreldraw
189,0,771,_,Coreldraw
190,0,772,pencil,Coreldraw
190,1,773,Eyedropper,Coreldraw
190,0,774,Bezier,Coreldraw
190,0,775,Freehand,Coreldraw
191,0,776,None of these,Coreldraw
191,0,777,Remove Overlapping Segments in Objects,Coreldraw
191,1,778,Removes the area outside a selection,Coreldraw
191,0,779,Slice objects into two separate parts,Coreldraw
192,0,780,Bitmap,Coreldraw
192,1,781,Scalar,Coreldraw
192,0,782,Vector,Coreldraw
192,0,783,Photo paint,Coreldraw
193,0,784,Vectors,Coreldraw
193,0,785,Particles,Coreldraw
193,1,786,Pixels,Coreldraw
193,0,787,Lines,Coreldraw
194,0,788,For book design,Coreldraw
194,0,789,Setting of margin,Coreldraw
194,0,790,Dividing your work,Coreldraw
194,1,791,All of the above,Coreldraw
195,1,792,Careldrw,Coreldraw
195,0,793,Coraldrw,Coreldraw
