S. no ,ID ,Qutestion Number,Sub,Question_text
1,171,171,Corel draw, What is Corel draw ?
2,172,172,Corel draw,Which of the following is/are the advantage(s) of CorelDRAW Graphics?
3,173,173,Corel draw,"A number of color style controls are available in CorelDRAW____ the Object style container, and the Color styles container."
4,174,174,Corel draw,Which of the following is/are the text object type(s)?
5,175,175,Corel draw,An object's attributes and properties are not modified by ____but by how an area of it is represented.
6,176,176,Corel draw,Which of the file format(s) can be exported in CorelDRAW?
7,177,177,Corel draw,Which of the following techniques is/are available in CorelDRAW to trace a bitmap?
8,178,178,Corel draw,Which tool allows you to draw freehand lines and automatically smooth out the curves in CorelDRAW?
9,179,179,Corel draw,Which format is suitable for saving bitmap images with transparent backgrounds in CorelDRAW?
10,180,180,Corel draw, C aligns centers of selected objects vertically.
11,181,181,Corel draw, What number of paper orientation do we have in Corel Draw?
12,182,182,Corel draw,Corel Draw was Wrriten in _______
13,183,183,Corel draw,What is the Shorcut key to fountain fills For the object  ?
14,184,184,Corel draw,Which of the following submenu Convert the .CDR file for .JPG format ?
15,185,185,Corel draw,What is Default Paper size in corel Drow ?
16,186,186,Corel draw,The object is closed and can be known by?
17,187,187,Corel draw,Which of the following Tool is used for editing Nodes or curve object?
18,188,188,Corel draw,______is used for selecting and deselecting objects.
19,189,189,Corel draw,Can we increase sides of polygon by pressing up arrow key in CorelDraw?
20,190,190,Corel draw,Which Tool in not a basic drawing tool in a 2d Image program ?
21,191,191,Corel draw, Crop Tool helps in.
22,192,192,Corel draw,CorelDraw is a ____________ based drawing Application Package.
23,193,193,Corel draw,Bitmap images are made up of ____________.
24,194,194,Corel draw,The ruler bar is used for _____________
25,195,195,Corel draw,Corel Run Command?
26,196,196,Corel draw,None of Corel Tool.
27,197,197,Corel draw,What is the Shortcut Key for Exit in CorelDraw?
28,198,198,Corel draw, Artistic Media Shortcut?
29,199,199,Corel draw,What is the Use of the Redo Tool in CorelDraw?
30,200,200,Corel draw,F3 the shortcut key to zoom in on all objects in the drawing.
31,201,201,Corel draw,Which shortcut key to use text Modify .
32,202,202,Corel draw,what is Not a color Model used on 2D and 3D Images ?
33,203,203,Corel draw,How do You create a Perfect Circle in Corel DRAW?
34,204,204,Corel draw,which CorelDRAW Tool lets you place an object inside anoter object's Shape ?
35,205,205,Corel draw,"In CorelDRAW, which shortcut key is used to group selected objects?"
36,206,206,Corel draw,Which menu is used to align objects in CorelDRAW?
37,207,207,Corel draw,What does pressing F2 do in CorelDRAW?
38,208,208,Corel draw,Which of the following options lets you place an object in front of or behind other objects?
39,209,209,Corel draw,What is the use of the Convert to Curves (Ctrl + Q) command?
40,210,210,Corel draw,Which menu contains Zoom options?
41,211,211,Corel draw,Which command is used to break apart combined objects?
42,212,212,Corel draw,Which tool is used to apply a gradient (fountain) fill in an object?
43,213,213,Corel draw,What is the shortcut key to open the Color Palette in CorelDRAW?
44,214,214,Corel draw,Which color models are commonly used in CorelDRAW?
45,215,215,Corel draw,The default color palette in CorelDRAW is placed:
46,216,216,Corel draw,Which of the following is used to apply no fill color to an object?
47,217,217,Corel draw,What is the default file extension of a CorelDRAW file?
48,218,218,Corel draw,Which of the following file formats cannot be imported into CorelDRAW?
49,219,219,Corel draw,Which command is used to set the orientation of the page in CorelDRAW?
50,220,220,Corel draw,You can create multiple pages in CorelDRAW from which menu?
