question_number,is_correct,Options,sub
121,1,28,Tally
121,0,30,Tally
121,0,15,Tally
121,0,11,Tally
122,0, Vedika  softwares ,Tally
122,0, Peutronics ,Tally
122,0,Coral softwares ,Tally
122,1, Tally softwares,Tally
123,1,1st  April of any Year,Tally
123,0, 31st March of any year,Tally
123,0,All of them are true ,Tally
123,0,None of these,Tally
124,0,Select Company ,Tally
124,0, Shut Company,Tally
124,1, Alter,Tally
124,0,Create company,Tally
125,0, Reports,Tally
125,0, Import ,Tally
125,1, Masters,Tally
125,0,Transactions,Tally
126,0,Voucher ,Tally
126,1, Accounting voucher ,Tally
126,0, Accounts info ,Tally
126,0,None Of these ,Tally
127,0,Indirect Incomes ,Tally
127,1,Indirect Expenses ,Tally
127,0, direct Incomes ,Tally
127,0, direct Incomes  ,Tally
128,0,System software,Tally
128,0, Utility software,Tally
128,1, Application software,Tally
128,0, Operating software,Tally
129,0,Cash,Tally
129,0,Profit &Loss A/c,Tally
129,0,CapitalA/c,Tally
129,1, A And B Both,Tally
130,0,Receipt ,Tally
130,1,contra ,Tally
130,0, Payment ,Tally
130,0, post- Dated ,Tally
131,0,contra,Tally
131,0,Journal ,Tally
131,0,Receipt ,Tally
131,1, Payment,Tally
132,0,Purchase ,Tally
132,1,Journal ,Tally
132,0,Receipt ,Tally
132,0, Payment,Tally
133,1,Assets =Liabilities + Capital ,Tally
133,0,Liabilities =Assets +Capital ,Tally
133,0,Capital= Assets +Liabilites ,Tally
133,0, All of these ,Tally
134,0,3,Tally
134,0,2,Tally
134,0,4,Tally
134,1,5,Tally
135,0,Gateway of Tally >Reports > Trail Balance,Tally
135,0, Gateway of Tally > Trail Balance,Tally
135,1, Gateway of Tally >Display  > Trail Balance,Tally
135,0, None of these ,Tally
136,0, Company Information,Tally
136,1, Company Features,Tally
136,0, Accounting Vouchers,Tally
136,0, Inventory Vouchers,Tally
137,1,Main Location,Tally
137,0,A or C,Tally
137,0,Primary,Tally
137,0,None of the above,Tally
138,0, Cash Account,Tally
138,0, Bank Account,Tally
138,1, Sundry Creditors,Tally
138,0, Sundry Debtors,Tally
139,0, Inventory Info,Tally
139,0, Reports Menu,Tally
139,0, Gateway of Tally,Tally
139,1, Display,Tally
140,0, Enterprise Resolution Planning,Tally
140,1, Enterprise Resource Planning,Tally
140,0, Entry Resource Planning,Tally
140,0, Exclusive Resource Planning,Tally
141,0, To open the calculator panel,Tally
141,0, To copy text,Tally
141,1, To create a ledger while in a voucher entry screen,Tally
141,0, To cancel a transaction,Tally
142,0, F1,Tally
142,0, F2,Tally
142,1, F11,Tally
142,0, F12,Tally
143,0, Cash,Tally
143,0, Bank,Tally
143,0, Sales,Tally
143,1, Profit & Loss Account,Tally
144,1, Current Assets,Tally
144,0, Current Liabilities,Tally
144,0, Fixed Assets,Tally
144,0, Indirect Expenses,Tally
145,0," Debit Purchases ?10,000; Credit Cash ?10,000",Tally
145,1," Debit Purchases ?10,000; Credit Creditor ?10,000",Tally
145,0," Debit Purchases ?10,000; Credit Sales ?10,000",Tally
145,0," Debit Creditor ?10,000; Credit Purchases ?10,000",Tally
146,1, Debit Furniture Account; Credit Creditor Account,Tally
146,0, Debit Cash Account; Credit Furniture Account,Tally
146,0, Debit Furniture Account; Credit Bank Account,Tally
146,0, Debit Bank Account; Credit Furniture Account,Tally
147,0, Payment Voucher,Tally
147,0, Credit Note Voucher,Tally
147,1, Debit Note Voucher,Tally
147,0, Journal Voucher,Tally
148,0, Ctrl + F9,Tally
148,0, Ctrl + F6,Tally
148,0, Ctrl + F5,Tally
148,1, Ctrl + F8,Tally
149,0, Cash Deposit in Bank,Tally
